% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE genesis_basin {NA, SA, WP, EP, SP, NI, SI}
@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE time REAL
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
EP,ET,main,42212.5,263.0,13.0,294,30.0,0.0,True
WP,ET,main,43451.0,156.0,7.0,1225,0.0,1006.0,True
WP,TS,main,48456.25,133.5,12.5,855,0.0,1006.0,True
WP,TS,main,54064.25,147.199996948,9.5999994278,1311,0.0,1004.0,True
NA,ET,main,46289.0,279.299987793,18.5,245,25.0,1010.0,True
EP,ET,main,37909.0,252.200012207,19.6000003815,236,45.0,0.0,True
EP,ET,main,44024.75,264.5,11.0,528,25.0,0.0,True
WP,TS,main,45622.75,115.0,9.0,254,0.0,1006.0,True
WP,TS,main,48320.0,152.0,4.0,760,0.0,1004.0,True
WP,TS,main,41140.75,140.0,9.0,1188,0.0,1006.0,True
WP,ET,main,36454.0,142.0,10.0,1366,0.0,1008.0,True
WP,TS,main,48451.5,140.0,12.0,1503,0.0,1008.0,True
WP,TS,main,53628.25,115.599998474,14.0999994278,484,0.0,1004.0,True
WP,ET,main,44150.25,152.899993896,6.19999980927,1021,0.0,1004.0,True
NA,TS,main,41912.25,276.299987793,20.5,133,30.0,0.0,True
WP,TS,main,46740.0,128.0,12.0,264,0.0,1004.0,True
WP,TS,main,49584.5,155.099990845,17.7999992371,2341,0.0,1006.0,True
WP,ET,main,40434.0,140.0,22.0,1337,0.0,1002.0,True
WP,TS,main,35695.25,126.0,16.0,288,0.0,1002.0,True
WP,TS,main,54569.0,128.0,8.5999994278,179,0.0,1006.0,True
NA,ET,main,50329.5,319.0,14.8999996185,1637,25.0,1006.0,True
NA,DS,main,56901.5,267.700012207,19.1999988556,67,25.0,1009.0,True
WP,ET,main,53267.0,149.5,12.5,1652,0.0,1008.0,True
WP,TS,main,35786.25,153.0,9.0,1331,0.0,1005.0,True
WP,ET,main,45171.75,165.0,11.0,2147,0.0,1004.0,True
WP,ET,main,50298.75,133.699996948,21.0,1156,0.0,1004.0,True
WP,ET,main,49261.0,130.0,16.0,645,0.0,1004.0,True
NA,ET,main,54312.0,293.5,35.5,753,30.0,1007.0,True
NA,ET,main,51077.25,342.600006104,9.5999994278,280,30.0,1008.0,True
WP,TS,main,50287.0,154.0,15.5,2067,0.0,1004.0,True
WP,TS,main,49547.0,129.0,11.0,349,0.0,1004.0,True
NA,ET,main,34628.25,294.899993896,18.2999992371,52,30.0,0.0,True
WP,TS,main,42399.0,141.0,8.0,1119,0.0,1006.0,True
NA,ET,main,35326.25,318.799987793,15.6999998093,1688,25.0,0.0,True
WP,TS,main,55453.75,129.099990845,19.6000003815,727,0.0,1008.0,True
WP,TS,main,45996.0,116.5,12.0,328,0.0,1004.0,True
WP,TS,main,42771.25,115.699996948,9.5,202,0.0,1006.0,True
WP,TS,main,53632.25,127.0,13.1999998093,197,0.0,1006.0,True
WP,ET,main,42950.0,137.0,12.0,1222,0.0,1006.0,True
WP,ET,main,49235.0,131.199996948,20.0,951,0.0,1006.0,True
EP,DS,main,55442.75,265.899993896,14.8999996185,116,30.0,1006.0,True
WP,TS,main,55394.25,123.099998474,15.7999992371,106,0.0,1008.0,True
WP,TS,main,49936.25,133.0,15.1999998093,877,0.0,1006.0,True
NA,TS,main,37548.75,335.899993896,15.0999994278,710,50.0,0.0,True
WP,TS,main,56256.75,156.899993896,3.39999985695,927,0.0,1004.0,True
WP,TS,main,37901.25,143.899993896,11.3999996185,1541,0.0,1007.0,True
SI,ET,main,55598.75,62.0,-10.5999994278,1158,0.0,1006.0,True
WP,ET,main,34972.75,144.800003052,13.5,1759,0.0,1008.0,True
