% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
DS,main,Aug,317.0,13.6999998093,1392,30.0,1010.0,True
ET,main,Jul,161.0,8.0,1613,0.0,1008.0,True
ET,main,Jul,303.5,12.7999992371,543,35.0,0.0,True
ET,main,Sep,150.0,10.5999994278,1451,0.0,1004.0,True
TS,main,Jul,139.5,11.8000001907,1465,0.0,1002.0,True
TS,main,Sep,131.899993896,11.0,656,0.0,1006.0,True
TS,main,Aug,324.5,10.8000001907,1607,25.0,1010.0,True
ET,main,Sep,275.899993896,25.7999992371,211,25.0,1010.0,True
TS,main,Oct,291.0,20.6999988556,159,25.0,0.0,True
ET,main,Sep,160.0,11.0,1829,0.0,1008.0,True
TS,main,Sep,276.0,17.6999988556,214,35.0,0.0,True
TS,main,Sep,302.0,11.3999996185,336,25.0,1010.0,True
DS,main,Aug,301.899993896,16.2999992371,701,30.0,1011.0,True
TS,merge,Sep,285.5,27.0,408,90.0,0.0,True
TS,main,Jun,132.5,9.0999994278,668,0.0,1008.0,True
TS,main,Sep,281.5,16.2999992371,198,25.0,1005.0,True
TS,main,Oct,277.700012207,13.5,129,25.0,0.0,True
TS,main,Oct,136.0,15.5,1192,0.0,1006.0,True
ET,main,Sep,321.600006104,13.1999998093,1732,35.0,0.0,True
TS,main,Oct,126.0,13.0,101,0.0,1008.0,True
ET,main,Jul,146.199996948,12.0,1580,0.0,1008.0,True
ET,main,Sep,133.0,14.0,837,0.0,1004.0,True
TS,main,Oct,263.5,23.5,132,90.0,0.0,True
ET,main,Nov,127.299995422,12.0,197,0.0,1006.0,True
ET,main,Jul,123.0,13.0,32,0.0,1004.0,True
TS,main,Aug,276.299987793,20.5,133,30.0,0.0,True
ET,main,Sep,296.399993896,23.0,554,30.0,0.0,True
TS,main,Sep,227.0,11.8999996185,2481,25.0,1010.0,True
TS,main,Jul,129.5,15.0,534,0.0,1006.0,True
TS,main,Sep,133.0,15.0999994278,873,0.0,1004.0,True
TS,main,Jan,134.5,9.0,881,0.0,1008.0,True
ET,main,Jun,265.0,20.0,145,25.0,0.0,True
ET,main,Oct,269.5,24.5,373,30.0,1005.0,True
ET,main,Jun,275.700012207,17.3999996185,173,30.0,1005.0,True
TS,main,Sep,293.899993896,19.1999988556,89,40.0,0.0,True
TS,main,Mar,72.4000015259,-11.6999998093,1830,20.0,1005.0,True
ET,main,Jun,117.899993896,14.8999996185,221,0.0,992.0,True
ET,main,Oct,278.0,15.8999996185,155,20.0,1006.0,True
TS,main,Jul,266.399993896,19.5,134,30.0,0.0,True
TS,main,Jul,148.5,18.5,2018,0.0,1008.0,True
TS,main,Jul,135.0,8.0,926,0.0,1004.0,True
TS,main,Dec,34.7000007629,-21.0,0,0.0,0.0,True
TS,main,Aug,148.800003052,18.1000003815,2071,0.0,1008.0,True
ET,main,Oct,131.199996948,10.8999996185,580,0.0,1006.0,True
TS,main,Jul,132.899993896,19.0,1071,0.0,1006.0,True
TS,main,Oct,118.0,14.2999992371,232,0.0,998.0,True
ET,main,Sep,280.899993896,28.6999988556,138,40.0,0.0,True
