% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Sep,293.299987793,22.8999996185,484,50.0,0.0,False
TS,main,Oct,277.5,19.8999996185,170,50.0,0.0,True
TS,main,Oct,299.5,29.0999984741,1303,35.0,0.0,False
TS,main,Oct,287.0,17.7999992371,39,35.0,0.0,True
ET,main,May,296.200012207,29.2999992371,1231,35.0,0.0,True
TS,main,May,283.100006104,15.5999994278,237,35.0,0.0,True
TS,main,Jun,276.0,20.5,152,30.0,0.0,True
TS,main,Jul,309.899993896,9.89999961853,594,35.0,0.0,True
ET,main,Aug,301.0,17.0,712,35.0,0.0,False
TS,main,Sep,303.0,13.2999992371,523,35.0,0.0,True
ET,split,Sep,306.299987793,23.0,1339,35.0,0.0,False
TS,main,Oct,285.899993896,21.0,41,50.0,0.0,False
TS,main,Oct,275.299987793,19.6999988556,235,35.0,0.0,True
ET,main,Oct,300.299987793,19.1000003815,626,35.0,0.0,True
ET,main,Oct,321.0,28.1999988556,2168,35.0,0.0,False
TS,main,Oct,312.0,14.0,1107,70.0,0.0,False
ET,main,Oct,274.0,26.5,343,35.0,0.0,True
TS,main,Nov,293.0,22.1000003815,394,35.0,0.0,False
TS,main,Dec,301.5,12.5,338,35.0,0.0,True
TS,main,Jun,266.799987793,27.5,239,35.0,0.0,True
TS,main,Jul,265.600006104,26.0,269,35.0,0.0,True
ET,main,Aug,289.0,23.0,287,35.0,0.0,True
TS,main,Aug,299.700012207,19.2999992371,566,60.0,0.0,True
ET,main,Sep,288.299987793,23.5,289,35.0,0.0,True
ET,main,Sep,279.0,24.2999992371,89,35.0,0.0,True
TS,main,Nov,300.100006104,12.3000001907,215,35.0,0.0,False
ET,main,Nov,304.0,23.1999988556,1132,50.0,0.0,True
ET,main,May,295.899993896,21.5,380,35.0,0.0,False
TS,main,Jun,276.299987793,19.7999992371,201,35.0,0.0,True
TS,main,Aug,290.799987793,16.7999992371,162,35.0,0.0,True
TS,main,Sep,305.0,11.8999996185,618,35.0,0.0,False
TS,main,Sep,317.100006104,15.8999996185,1591,35.0,0.0,False
TS,main,Sep,334.299987793,15.1999998093,883,35.0,0.0,False
ET,main,Sep,300.5,15.6999998093,582,35.0,0.0,True
TS,main,Sep,308.0,11.3000001907,651,35.0,0.0,False
ET,main,Oct,277.5,20.0,159,30.0,0.0,True
ET,main,Aug,305.700012207,16.6000003815,980,85.0,0.0,False
TS,main,Jul,267.0,21.6999988556,287,35.0,0.0,True
ET,main,Aug,335.600006104,13.2999992371,761,35.0,0.0,False
ET,main,Sep,301.799987793,19.2999992371,785,35.0,0.0,True
ET,main,Oct,281.0,15.0,352,35.0,0.0,True
ET,main,Oct,275.0,18.0,235,30.0,0.0,True
ET,main,Aug,305.5,18.0,1076,35.0,0.0,True
TS,main,Sep,327.0,11.5,1716,35.0,0.0,False
ET,main,Sep,267.200012207,22.0,277,35.0,0.0,True
TS,main,Sep,340.5,15.2999992371,225,35.0,0.0,False
TS,main,Sep,267.799987793,19.5,99,35.0,0.0,True
TS,main,Oct,303.799987793,11.5,497,35.0,0.0,True
ET,main,Oct,288.799987793,26.0,566,40.0,0.0,False
ET,main,Jun,264.799987793,20.5,142,35.0,0.0,True
ET,main,Aug,323.5,14.0,1928,35.0,0.0,True
ET,main,Aug,339.799987793,18.1000003815,415,40.0,0.0,True
TS,main,Aug,299.600006104,32.2000007629,1328,35.0,0.0,True
ET,main,Sep,335.0,11.5999994278,883,35.0,0.0,True
TS,main,Sep,278.299987793,16.3999996185,216,35.0,0.0,True
TS,main,Oct,278.0,18.0,336,30.0,0.0,True
ET,main,Nov,289.200012207,26.6999988556,653,35.0,0.0,False
TS,main,Jun,282.600006104,19.0,67,35.0,0.0,False
TS,main,Aug,270.700012207,26.3999996185,290,35.0,0.0,True
ET,main,Aug,325.200012207,13.1999998093,1874,35.0,0.0,False
TS,main,Oct,302.299987793,10.8000001907,344,35.0,0.0,False
TS,main,Aug,268.700012207,27.1999988556,215,35.0,0.0,True
ET,main,Oct,315.200012207,12.0,1120,35.0,0.0,True
TS,main,Oct,266.299987793,19.3999996185,123,35.0,0.0,True
TS,main,Jul,278.899993896,20.8999996185,123,35.0,0.0,True
ET,main,Aug,300.399993896,14.0,399,35.0,0.0,True
TS,main,Sep,304.899993896,17.1000003815,958,35.0,0.0,False
ET,main,Sep,298.200012207,16.6999988556,436,35.0,0.0,True
ET,main,Oct,268.799987793,22.5,182,35.0,0.0,True
TS,main,Oct,315.799987793,8.69999980927,926,35.0,0.0,False
TS,main,Nov,298.899993896,10.8999996185,22,35.0,0.0,False
ET,main,Aug,336.0,14.0,704,35.0,0.0,False
TS,main,Sep,280.0,23.6999988556,89,50.0,0.0,True
TS,main,Sep,276.200012207,24.2999992371,161,40.0,0.0,True
TS,main,Sep,277.100006104,19.6000003815,201,35.0,0.0,False
ET,main,Oct,282.700012207,24.5,40,50.0,0.0,True
TS,main,Aug,280.799987793,26.7999992371,79,35.0,0.0,True
TS,main,Aug,280.899993896,29.2999992371,162,35.0,0.0,True
ET,main,Sep,317.899993896,40.7999992371,1095,70.0,0.0,False
ET,main,Sep,333.100006104,11.1999998093,1091,35.0,0.0,True
TS,main,Sep,280.899993896,12.8999996185,380,50.0,0.0,True
TS,main,Sep,280.200012207,11.0,168,50.0,0.0,True
TS,main,Sep,275.5,20.5,145,30.0,0.0,True
TS,main,Oct,302.299987793,11.3999996185,368,50.0,0.0,True
ET,main,Oct,274.200012207,18.5,194,35.0,0.0,True
TS,main,Oct,298.799987793,17.8999996185,466,50.0,0.0,True
TS,main,Jun,267.0,27.5,233,35.0,0.0,True
TS,main,Jul,290.5,17.0,153,70.0,0.0,True
ET,main,Aug,329.0,11.6999998093,1500,35.0,0.0,True
ET,main,Sep,321.600006104,13.1999998093,1732,35.0,0.0,True
TS,main,Oct,282.5,25.5,67,30.0,0.0,False
ET,main,Oct,281.200012207,16.1999988556,223,35.0,0.0,True
TS,main,Nov,281.700012207,11.6999998093,261,35.0,0.0,True
TS,main,Sep,332.0,14.5,1130,35.0,0.0,False
TS,main,Sep,341.5,10.0,326,40.0,0.0,False
TS,main,Sep,274.799987793,20.0,198,35.0,0.0,True
ET,main,Oct,298.700012207,21.1999988556,548,30.0,0.0,True
ET,main,Oct,268.600006104,21.0,106,35.0,0.0,True
ET,main,Oct,295.5,15.0,363,30.0,0.0,True
TS,main,Jun,277.700012207,19.2999992371,240,25.0,0.0,True
